step,train_loss,train_bpc,val_loss,val_bpc,lr,elapsed_s
0,4.513460,6.511546,4.525876,6.529459,0.00000000,27.2
200,2.513681,3.626475,2.575743,3.716012,0.00012000,70.0
400,2.405327,3.470153,2.459319,3.548047,0.00024000,114.0
600,2.201527,3.176132,2.258023,3.257639,0.00029998,159.3
800,2.024147,2.920227,2.047152,2.953415,0.00029984,205.2
1000,1.902613,2.744890,1.910045,2.755612,0.00029956,252.1
1200,1.817935,2.622726,1.828521,2.637998,0.00029914,299.8
1400,1.751992,2.527590,1.751684,2.527146,0.00029858,348.0
1600,1.711311,2.468900,1.708084,2.464244,0.00029789,395.5
1800,1.669199,2.408144,1.658012,2.392006,0.00029705,442.8
2000,1.636887,2.361528,1.637189,2.361965,0.00029608,490.3
2200,1.609395,2.321867,1.607482,2.319107,0.00029497,538.7
2400,1.579131,2.278205,1.583066,2.283882,0.00029372,587.4
2600,1.566439,2.259894,1.571791,2.267614,0.00029235,635.5
2800,1.537293,2.217846,1.544490,2.228228,0.00029084,683.6
3000,1.530479,2.208015,1.533663,2.212608,0.00028920,731.3
3200,1.515250,2.186043,1.519083,2.191574,0.00028743,779.4
3400,1.497504,2.160442,1.506601,2.173565,0.00028553,827.4
3600,1.492114,2.152665,1.500311,2.164492,0.00028351,875.9
3800,1.472540,2.124426,1.485302,2.142838,0.00028137,924.4
4000,1.466290,2.115410,1.483259,2.139891,0.00027910,972.7
4200,1.461567,2.108596,1.480757,2.136281,0.00027672,1022.0
4400,1.457211,2.102312,1.467339,2.116923,0.00027422,1069.8
4600,1.438951,2.075967,1.457037,2.102060,0.00027160,1118.5
4800,1.438096,2.074734,1.442873,2.081626,0.00026888,1166.8
5000,1.423237,2.053298,1.441085,2.079047,0.00026605,1215.3
5200,1.415390,2.041976,1.434313,2.069277,0.00026311,1263.3
5400,1.411554,2.036442,1.424167,2.054639,0.00026007,1311.4
5600,1.411167,2.035884,1.427128,2.058910,0.00025694,1359.6
5800,1.399907,2.019639,1.412006,2.037094,0.00025370,1408.0
6000,1.397126,2.015626,1.410083,2.034319,0.00025038,1456.2
6200,1.388201,2.002751,1.402280,2.023062,0.00024697,1505.6
6400,1.382130,1.993992,1.402717,2.023693,0.00024347,1553.8
6600,1.377886,1.987869,1.389085,2.004025,0.00023989,1601.6
6800,1.374691,1.983260,1.409460,2.033421,0.00023623,1650.1
7000,1.365658,1.970228,1.398851,2.018116,0.00023250,1698.8
7200,1.363654,1.967337,1.387664,2.001976,0.00022870,1747.4
7400,1.356102,1.956442,1.384982,1.998107,0.00022483,1795.7
7600,1.354631,1.954319,1.394027,2.011157,0.00022090,1844.0
7800,1.350701,1.948650,1.387415,2.001617,0.00021691,1892.1
8000,1.345105,1.940576,1.379817,1.990655,0.00021287,1940.4
8200,1.341970,1.936054,1.374358,1.982779,0.00020878,1990.0
8400,1.341901,1.935954,1.375484,1.984404,0.00020464,2038.2
8600,1.330217,1.919097,1.372367,1.979906,0.00020047,2086.0
8800,1.328162,1.916133,1.366030,1.970765,0.00019625,2133.3
9000,1.326789,1.914151,1.362052,1.965026,0.00019200,2181.3
9200,1.325526,1.912329,1.371169,1.978179,0.00018773,2230.0
9400,1.317053,1.900106,1.362863,1.966196,0.00018343,2278.0
9600,1.319612,1.903798,1.355451,1.955503,0.00017911,2326.2
9800,1.311929,1.892714,1.361657,1.964456,0.00017478,2374.2
10000,1.310575,1.890759,1.353139,1.952166,0.00017044,2421.7
