step,train_loss,train_bpc,val_loss,val_bpc,lr,elapsed_s
0,4.506891,6.502069,4.504296,6.498325,0.00000000,13.1
200,2.392692,3.451925,2.448419,3.532322,0.00120000,59.6
400,1.913287,2.760289,1.938346,2.796442,0.00240000,107.1
600,1.726376,2.490634,1.719623,2.480891,0.00299982,154.3
800,1.630587,2.352440,1.629819,2.351331,0.00299842,201.4
1000,1.555475,2.244076,1.563708,2.255954,0.00299562,248.4
1200,1.520103,2.193046,1.528802,2.205595,0.00299142,295.4
1400,1.494307,2.155829,1.496795,2.159419,0.00298583,342.7
1600,1.469376,2.119862,1.466255,2.115359,0.00297886,389.9
1800,1.453844,2.097453,1.457500,2.102728,0.00297050,437.1
2000,1.430304,2.063492,1.430906,2.064361,0.00296077,484.2
2200,1.414360,2.040490,1.430963,2.064443,0.00294968,532.8
2400,1.403913,2.025418,1.415981,2.042828,0.00293725,579.9
2600,1.388936,2.003811,1.410186,2.034468,0.00292347,627.0
2800,1.381218,1.992676,1.397409,2.016034,0.00290837,674.1
3000,1.362847,1.966173,1.395142,2.012764,0.00289197,721.4
3200,1.358189,1.959452,1.383465,1.995918,0.00287428,768.5
3400,1.356018,1.956321,1.382953,1.995180,0.00285532,815.6
3600,1.349625,1.947097,1.380502,1.991643,0.00283510,862.6
3800,1.343321,1.938002,1.365874,1.970540,0.00281366,909.9
4000,1.335267,1.926383,1.367108,1.972320,0.00279101,957.0
4200,1.330083,1.918905,1.373550,1.981614,0.00276717,1005.1
4400,1.329718,1.918378,1.357801,1.958893,0.00274217,1052.2
4600,1.327666,1.915418,1.364202,1.968127,0.00271604,1099.4
4800,1.318533,1.902241,1.368324,1.974075,0.00268881,1146.6
5000,1.310157,1.890156,1.346469,1.942544,0.00266049,1193.7
5200,1.305217,1.883029,1.352403,1.951106,0.00263112,1240.8
5400,1.296705,1.870749,1.339523,1.932523,0.00260074,1287.8
5600,1.298773,1.873734,1.335332,1.926477,0.00256937,1335.2
5800,1.296090,1.869863,1.341508,1.935387,0.00253705,1382.4
6000,1.292111,1.864122,1.340856,1.934446,0.00250380,1429.4
6200,1.287353,1.857258,1.336494,1.928154,0.00246967,1477.8
6400,1.280302,1.847085,1.332549,1.922462,0.00243469,1525.0
6600,1.287490,1.857456,1.341560,1.935462,0.00239889,1572.2
6800,1.276269,1.841267,1.330500,1.919506,0.00236231,1619.2
7000,1.275871,1.840693,1.333552,1.923908,0.00232500,1666.3
7200,1.270096,1.832361,1.340717,1.934245,0.00228698,1713.3
7400,1.268387,1.829896,1.331035,1.920277,0.00224831,1760.4
7600,1.263890,1.823409,1.332385,1.922226,0.00220901,1807.5
7800,1.260690,1.818791,1.330982,1.920201,0.00216913,1854.6
8000,1.258846,1.816132,1.328854,1.917131,0.00212872,1901.6
8200,1.248702,1.801496,1.326918,1.914339,0.00208780,1949.9
8400,1.255776,1.811702,1.328296,1.916326,0.00204643,1997.0
8600,1.247970,1.800441,1.332510,1.922405,0.00200465,2044.1
8800,1.246764,1.798700,1.314471,1.896381,0.00196251,2091.1
9000,1.241186,1.790652,1.325412,1.912165,0.00192003,2138.4
9200,1.236168,1.783413,1.320283,1.904765,0.00187728,2185.5
9400,1.233905,1.780148,1.330335,1.919268,0.00183429,2232.6
9600,1.234269,1.780674,1.305467,1.883391,0.00179111,2279.6
9800,1.226109,1.768901,1.326908,1.914323,0.00174779,2327.0
10000,1.225684,1.768288,1.322913,1.908560,0.00170436,2374.1
10200,1.225094,1.767437,1.316714,1.899617,0.00166087,2422.2
10400,1.222793,1.764117,1.320127,1.904541,0.00161738,2469.2
10600,1.212929,1.749887,1.316179,1.898844,0.00157392,2516.3
10800,1.212042,1.748607,1.322862,1.908487,0.00153053,2563.4
11000,1.211021,1.747133,1.318382,1.902024,0.00148728,2610.5
11200,1.203056,1.735643,1.316352,1.899095,0.00144419,2657.6
11400,1.199169,1.730035,1.319531,1.903681,0.00140131,2704.7
11600,1.198684,1.729335,1.315497,1.897860,0.00135869,2751.7
11800,1.190605,1.717680,1.317638,1.900950,0.00131638,2798.8
12000,1.193925,1.722470,1.306017,1.884184,0.00127441,2845.9
12200,1.183920,1.708036,1.308394,1.887613,0.00123283,2894.3
12400,1.183826,1.707900,1.312337,1.893301,0.00119168,2941.6
12600,1.182368,1.705797,1.302527,1.879150,0.00115101,2988.7
12800,1.175389,1.695728,1.303933,1.881178,0.00111086,3035.8
13000,1.176414,1.697207,1.311212,1.891679,0.00107127,3082.7
13200,1.169470,1.687188,1.313383,1.894811,0.00103227,3130.0
13400,1.170227,1.688281,1.307768,1.886711,0.00099392,3177.0
13600,1.162603,1.677281,1.305190,1.882992,0.00095625,3224.0
13800,1.155748,1.667391,1.302173,1.878638,0.00091930,3271.1
14000,1.154361,1.665391,1.300140,1.875706,0.00088311,3318.1
14200,1.151665,1.661501,1.300521,1.876254,0.00084772,3366.3
14400,1.147819,1.655953,1.308926,1.888381,0.00081316,3413.4
14600,1.144630,1.651352,1.296777,1.870854,0.00077946,3460.5
14800,1.141609,1.646994,1.298073,1.872723,0.00074667,3507.5
15000,1.138838,1.642996,1.296670,1.870700,0.00071482,3554.5
15200,1.133678,1.635551,1.296450,1.870382,0.00068394,3601.8
15400,1.133721,1.635614,1.293213,1.865713,0.00065406,3648.8
15600,1.127668,1.626882,1.298431,1.873240,0.00062522,3695.8
15800,1.121334,1.617743,1.287422,1.857357,0.00059744,3742.8
16000,1.118307,1.613376,1.291568,1.863339,0.00057075,3790.1
16200,1.118539,1.613710,1.300422,1.876113,0.00054519,3838.3
16400,1.114563,1.607974,1.303014,1.879852,0.00052077,3885.3
16600,1.110071,1.601493,1.292228,1.864291,0.00049752,3932.4
